name;energy;protein;total_n;fat;Saturated fat;monounsaturated fatty acids;polyunsaturated fatty acids;  kulhydrat, tilgængelig;Kulhydrat, total;  tilsat sukker;  kostfibre;Alkohol;Aske;Vand;A-vitamin;  Retinol;  ß-caroten;D-vitamin;D3 cholecalciferol;D2 ergocalciferol;E-vitamin;  alfa-tokoferol;K-vitamin;B1-vitamin, thiamin;B2-vitamin, riboflavin;Niacin;  niacin;  tryptofans bidrag;B6-vitamin;Pantothensyre;Biotin;Folat;B12-vitamin;C-vitamin;  L-ascorbinsyre;  L-dehydroascorbins.;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Nikkel, Ni;Fructose;Glucose;Lactose;Maltose;Saccharose;Sukkerarter, ialt;Stivelse;Kostfibre, total (AOAC);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Sum mættede;C14:1, n-5;C16:1, n-7;C18:1, n-9;C18:1, n-7;C20:1, n-11;C22:1, n-9;C22:1, n-11;Sum monoumættede;C18:2, n-6;C18:3, n-3;C18:4, n-3;C20:4, n-6;C20:5, n-3;C22:5, n-3;C22:6, n-3;Sum polyumættede;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin;C24:1, n-9;Andre fedtsyrer;25-hydroxycholecalciferol
Asparagus, all types, raw;99;1.9;0.3;0.3;0.1;0.0;0.1;2.4;4.2;0.0;1.8;0.0;0.5;93.3;2.67;0;32;0;;;0.3;0.3;39;0.11;0.09;1.25;1.0;0.250;0.06;0.07;0.2;150;0;12;;;6.4;202;20;8.9;52;0.5;0.055;0.44;0.15;;;1;18.0;0.67;0.32;0;0;0.18;1.17;0;;;;;;;;;0.060;;0.002;;;;0.062;;0.001;0.004;;;;;0.005;0.134;0.012;;;;;;0.146;0.012;0.134;0;0;55;89;80;22;7;52;43;49;15;89;74;34;140;180;410;65;120;92;;;
Aubergine (eggplant), raw;82;0.9;0.2;0.1;0.0;0.0;0.1;2.6;5.0;0.0;2.4;0.0;0.5;93.5;0.000;0;0;0;;;0.03;0.03;;0.05;0.03;0.933;0.8;0.133;0.08;0.22;;27;0;2;;;3;240;8.4;10;30.3;0.4;0.08;0.16;0.15;0.250;0.7;0.200;0.395;1.4;1.4;;;0.1;2.90;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000;0;42;60;44;10;6;41;26;35;8;50;53;21;47;150;170;38;41;39;;;
Avocado, raw;765;1.9;0.3;15.7;1.8;11.8;1.4;6.5;11.7;0.0;5.2;0.0;2.8;68.0;8.33;0;16;0;;;1.3;1.3;8;0.1;0.18;1.35;1.1;0.350;0.36;1.1;3.6;93.0;0;6;;;6;450;12.1;25;46.5;0.4;0.19;0.64;;0.142;0.7;0.8;59.7;0.2;0.1;0;0;0.1;0.400;0.05;;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.85;0.000;0.000;0.000;0.000;;1.85;0.000;0.525;11.3;;0.000;0.000;;11.8;1.29;0.060;;0.016;0.000;0.000;0.000;1.37;0.060;1.31;0.000;0;64;100;94;30;;67;43;55;21;88;64;33;120;430;230;76;73;79;;;
Bacon, sliced, raw;1076;15.9;2.5;21.4;7.5;9.3;2.1;0.8;0.8;0.0;0.0;0.0;3.7;58.3;3.50;3.5;0.000;0.545;0;;0.44;0.44;0.000;0.70;0.142;8.23;5.4;2.83;0.24;0.71;4.8;1.3;0.68;8.30;8.3;;1225;283;5.91;17.6;167;0.52;0.096;1.68;0.7;0;1.4;8.3;0.8;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;0.000;0.000;0.000;0.000;0.000;0.280;0.000;4.70;0.000;2.55;0.000;0.000;0.000;7.53;0.000;0.540;8.60;;0.157;0.000;;9.30;1.93;0.178;;0.000;0.000;0.000;0.000;2.11;0.178;1.93;0.000;63;790;1300;1400;480;100;590;530;710;170;790;990;510;990;1400;2400;760;590;560;;0.330;0.109
Bacon, steaky bacon, diced, raw;1076;15.9;2.54;21.4;7.93;9.16;2.42;0.8;0.8;0;0;0;3.7;58.3;4;4;0;0.74;0.18;0;0.44;0.44;0;0.700;0.142;8.28;5.4;2.88;0.240;0.71;4.80;1;0.7;8.3;8.3;;1225;283;6;18;167;0.520;0.10;1.68;0.70;0;1.4;8.3;1;0;0;0;0;0;0;0;;;;;0.020;0.033;0.33;;4.88;;2.61;0.053;;;7.93;;0.53;7.67;0.80;0.16;;;9.16;2.22;0.20;;;;;;2.42;0.20;2.22;0.098;67;762;1143;1397;381;104;584;533;660;173;838;940;584;940;1397;2057;813;635;610;;0.32;0.11
Yeast, baker`s, compressed;465;8.4;1.3;1.9;0.3;1.2;0.0;11.9;18.1;0.0;6.2;0.0;1.8;69.0;0.000;0;0;0;;;0.2;0.2;0;0.47;1.40;9.33;7.5;1.83;1.10;3.50;60;1000;0;0.100;0.1;;16;610;15;31;340;1.6;0.16;4.5;0.6;0.31;0;1.0;10;;;;;;0;0;;0.000;0.000;0.000;0.000;0.014;0.000;;0.202;;0.070;;;;0.286;;0.653;0.576;;0.000;0.000;;1.23;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.005;0.000;0.005;0.000;0;430;580;650;120;30;320;280;430;110;540;440;180;510;830;1100;420;280;440;;;
Baking powder;731;5.2;0.8;0.0;0.0;0.0;0.0;37.8;37.8;0.0;0.0;0.0;50.7;6.3;0.000;0;0;0;;;0;0;0;0;0;1.00;0;1.00;0;0;0;0;0;0;;;11800;49;11300;9;8430;;;;;;;;;;;;;;0;37.8;;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;0.000;0.000;0.000;0.000;;0.000;0.000;;0.000;0.000;0.000;;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;0;;;;;;;;;60;;;;;;;;;;;;
Beans, baked i tomato sauce, canned;399;5.1;0.8;0.5;0.1;0.0;0.2;14.2;20.8;;6.6;0.0;;73.6;0.000;0;0;0;;;0.6;0.6;;0.07;0.05;1.32;0.5;0.817;0.12;;;29;0;0;;;480;300;45;31;91;1.4;0.21;0.7;;;;;;;;;;;5.0;4.64;;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.076;0.000;0.008;0.000;0.000;;0.084;0.000;0.000;0.048;;0.000;0.000;;0.048;0.098;0.150;;0.000;0.000;0.000;0.000;0.249;0.150;0.098;;;210;390;370;57;41;270;130;210;49;240;300;150;210;620;750;200;180;290;;;
Bamboo shoots, canned, salted;106;2.6;0.4;0.1;;;;3.2;3.7;0.0;0.5;0.0;0.2;93.4;0.000;0;0;0;;;;;;0.01;0.04;0.100;0.1;;;;;;0;0;;;600;85;24;;31;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Bamboo shoots, canned, nonsalted;106;2.6;0.4;0.1;;;;3.2;3.7;0.0;0.5;0.0;0.2;93.4;0.000;0;0;0;;;;;;0.01;0.04;0.100;0.1;;;;;;0;0;;;3;85;24;;31;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Bamboo shoots, raw;172;3.6;0.6;0.1;;;;6.0;6.7;0.0;0.7;0.0;1.0;88.6;0.667;0;8;0;;;;;;0.04;0.12;0.500;0.5;;;;;;0;11;;;0;500;18;;50;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Banana, raw;342;1.3;0.2;0.3;0.1;0.0;0.1;17.4;19.0;0.0;1.6;0.0;0.8;76.6;4.42;0;53;0;;;0.55;0.55;;0.039;0.024;0.900;0.7;0.200;0.299;0.26;5.5;38;0;14.3;11.0;3.3;2;353;4.40;27.7;27.3;0.24;0.11;0.176;0.4;0.24;0.17;1.04;4.01;3.8;5.8;;;6.3;15.9;2.7;;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.092;0.000;0.008;0.000;0.000;;0.100;0.000;0.005;0.032;;0.000;0.000;;0.037;0.035;0.048;;0.000;0.000;0.000;0.000;0.083;0.048;0.035;0.000;0;40;100;58;12;4;40;23;37;12;60;56;96;40;130;120;42;44;60;;;
Sweetpotato, raw;298;1.3;0.2;0.3;0.1;0.0;0.1;14.3;17.0;0.0;2.7;0.0;1.1;80.3;373;0;4470;0;;;;;;0.065;0.061;0.974;0.557;0.417;0.178;0.800;;11;0.00;2.40;2.4;;33;408;45;15;47;0.9;0.151;0.20;;0.258;;;;0.8;0.9;;;2.5;4.2;;;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.105;0.000;0.006;0.000;0.000;0.000;0.110;0.000;0.000;0.006;;0.000;0.000;;0.006;0.075;0.006;0.000;0.000;0.000;0.000;0.000;0.081;0.006;0.075;;0;46;77;54;25;18;73;29;69;25;71;46;25;64;310;130;52;44;73;;;
