name;energy;protein;total_n;fat;Saturated fat;monounsaturated fatty acids;polyunsaturated fatty acids;  kulhydrat, tilgængelig;Kulhydrat, total;  tilsat sukker;  kostfibre;Alkohol;Aske;Vand;A-vitamin;  Retinol;  ß-caroten;D-vitamin;D3 cholecalciferol;D2 ergocalciferol;E-vitamin;  alfa-tokoferol;K-vitamin;B1-vitamin, thiamin;B2-vitamin, riboflavin;Niacin;  niacin;  tryptofans bidrag;B6-vitamin;Pantothensyre;Biotin;Folat;B12-vitamin;C-vitamin;  L-ascorbinsyre;  L-dehydroascorbins.;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Nikkel, Ni;Fructose;Glucose;Lactose;Maltose;Saccharose;Sukkerarter, ialt;Stivelse;Kostfibre, total (AOAC);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Sum mættede;C14:1, n-5;C16:1, n-7;C18:1, n-9;C18:1, n-7;C20:1, n-11;C22:1, n-9;C22:1, n-11;Sum monoumættede;C18:2, n-6;C18:3, n-3;C18:4, n-3;C20:4, n-6;C20:5, n-3;C22:5, n-3;C22:6, n-3;Sum polyumættede;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin;C24:1, n-9;Andre fedtsyrer;25-hydroxycholecalciferol
Charr, fillet, smoked;884;29.6;4.7;10.3;;;;0.0;0.0;0.0;0.0;0.0;7.4;54.6;0.000;;0;9;;;;;0;;;;;;;;;;;0;;;2340;460;25;30;300;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000;48;;;;;;;;;;;;;;;;;;;;;
Charr, raw;448;20.5;3.3;2.7;;;;0.0;0.0;0.0;0.0;0.0;1.2;77.6;0.000;;0;9;;;;;0;0.16;0.09;;;;0.368;;;;;0;;;80;370;;30;260;0.75;;0.67;;;1.3;16.0;0;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000;48;;;;;;;;;;;;;;;;;;;;;
Bean, adzuki, sprouted, raw;568;10.0;1.6;1.0;;;;18.8;24.0;0.0;5.2;0.0;0.8;64.2;0.000;0;;0;;;;;;;;;;;;;;100;0;;;;;;44.3;;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Bean sprouts, mung, raw;142;3.0;0.5;0.2;0.1;0.0;0.1;4.1;5.9;0.0;1.8;0.0;0.4;90.4;1.00;0;12;0;;;;;33;0.084;0.124;1.37;0.749;0.617;0.088;0.380;;100;0.00;13.2;13.2;;6;149;25.8;21;100;0.91;0.164;0.41;;0.188;;;;;;;;;;;;0.000;0.000;0.000;0.000;0.000;0.000;;0.035;;0.009;;;;0.051;;0.000;0.024;;0.000;0.000;;0.024;0.046;0.018;0.000;0.000;0.000;0.000;0.000;0.064;0.018;0.046;;0;130;180;170;34;17;120;53;78;37;130;200;68;97;480;160;63;;33;;;
Beansprouts, soy, canned;72;1.6;0.3;0.2;;;;0.8;3.8;0.0;3.0;0.0;0.6;95.4;0.000;0;0;0;;;0.09;0.09;;0.02;0.03;0.500;0.2;0.300;0.03;0;0;42;0;1;;;600;36;13;10;20;1.0;0.09;0.8;;;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;18;;;;;;;;;;;;
Beansprouts, soy, raw;240;6.2;1.0;1.4;;;;4.5;5.3;0.0;0.8;0.0;0.8;86.3;4.00;0;48;0;;;0.09;0.09;;0.340;0.118;2.40;1.15;1.25;0.03;0;0;100;0;15.3;;;30;36;67;10;164;2.10;0.09;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;280;450;360;65;74;310;230;240;75;300;430;170;260;840;930;240;320;310;;;
Bean sprouts, average values, raw;135;3.0;0.5;0.3;0.1;0.0;0.1;3.7;4.9;0.0;1.2;0.0;0.4;90.0;2.67;0;32;0;;;;;33;0.084;0.124;1.35;0.749;0.600;0.081;0.380;;100;0;13.2;13.2;;6;149;25.8;21;100;0.91;0.164;0.41;;0.188;;;29.1;;;;;;;;;;;;;;0.000;;0.047;;0.012;;;;0.068;;;0.032;;;;;0.032;0.061;0.024;;;;;;0.085;0.023;0.062;;0;130;170;160;34;17;120;53;77;36;130;200;67;96;470;160;62;;33;;;
Cocoa, instant, med milk, powder;1558;16.2;2.6;3.4;2.0;1.1;0.1;64.7;71.8;70.3;7.1;0.0;5.0;3.6;0.000;0;0;0;;;0.1;0.1;0;0.06;0.04;4.50;0.5;4.00;0.02;0.893;;23;0;0;;;270;1470;33;155;190;7;1.1;1.9;30;0.77;14;1.5;;0;0;;;70.3;70.3;3.3;;0.000;0.000;0.000;0.000;0.000;0.017;0.000;0.865;0.000;1.09;0.029;0.000;;2.00;0.000;0.000;1.13;;0.000;0.000;;1.13;0.102;0.000;;0.000;0.000;0.000;0.000;0.102;0.000;0.102;;0;560;880;580;240;300;650;440;580;240;860;1000;240;670;1500;2500;650;860;860;;;
Cocoa, instant, without milk, powder;1663;5.3;0.8;3.8;2.2;1.3;0.1;81.5;87.4;70.3;5.9;0.0;2.4;1.3;0.000;0;0;0;;;0.1;0.1;0;0.06;0.04;1.83;0.5;1.33;0.02;0.041;;23;0;0;;;217;842;33;133;190;7;0.84;2.3;1.2;0.77;78;1.5;200;0;0;;;70.3;70.3;3.3;;0.000;0.000;0.000;0.000;0.000;0.019;0.000;0.967;0.000;1.22;0.032;0.000;;2.24;0.000;0.000;1.26;;0.000;0.000;;1.26;0.114;0.000;;0.000;0.000;0.000;0.000;0.114;0.000;0.114;;0;180;290;190;80;98;210;140;190;80;280;340;80;220;480;820;210;280;280;;;
Cocoa, powder;1686;22.5;3.6;21.9;12.9;7.3;0.6;17.7;41.7;0.0;24.0;0.0;8.9;5.1;3.33;0;40;0;;;0.2;0.2;0;0.10;0.15;5.67;2.0;3.67;0.07;;;41;0;0;;;35;3490;105;523;660;11;3.6;10.1;2.8;2.5;173;14.3;855;;;;;;0;10.5;;0.000;0.000;0.000;0.000;0.000;0.000;0.000;5.48;0.000;7.22;0.188;0.000;;12.9;0.000;0.000;7.28;;0.000;0.000;;7.28;0.628;0.000;;0.000;0.000;0.000;0.000;0.628;0.000;0.628;0.000;0;680;1000;760;210;210;760;540;720;220;1100;1100;290;830;1700;2800;760;860;900;;;
Milk, with chocolate, partly skimmed, 1.5 % fat;295;3.7;0.6;1.8;1.1;0.5;0.1;9.5;10.0;4.5;0.5;0.0;0.7;83.8;16.0;15.3;7.92;0.083;0.083;;0.046;0.046;0;0.037;0.162;0.978;0.145;0.833;0.03;0.34;1.4;3.2;0.08;0;;;48.0;188;112;18.8;95;0.35;0.15;0.48;24.3;0.01;0.052;1.37;17.3;0;0;4.17;0;4.51;8.68;0;;0.060;0.038;0.026;0.055;0.069;0.196;;0.523;;0.179;0.000;;;1.15;0.026;0.038;0.393;;0.020;;;0.477;0.036;0.014;;;;;;0.050;0.014;0.036;0.078;7;220;350;330;93;28;190;160;160;50;260;130;100;120;300;750;75;360;210;;;
Milk, with chocolate, partly skimmed, 1.5 % fat (UHT);293;3.6;0.6;1.7;1.1;0.5;0.0;9.7;10.2;5.1;0.5;0.0;0.7;83.8;15.1;14.5;7.48;0.082;0.082;;0.043;0.043;0;0.037;0.162;0.962;0.145;0.817;0.03;0.34;1.4;3.2;0.08;0;;;44.1;212;115;21.3;97;0.35;0.15;0.49;24.3;0.01;0.052;1.3;17.3;0;0;4.29;0;5.06;9.35;0;;0.058;0.037;0.024;0.053;0.066;0.188;;0.503;;0.172;0.000;;;1.10;0.024;0.037;0.378;;0.019;;;0.458;0.035;0.013;;;;;;0.048;0.013;0.035;0.074;7;210;340;320;90;28;180;150;150;49;250;120;100;120;290;730;73;350;200;;;
